video,start_frame,end_frame,label
Subject2Activity3Trial3Camera1,34,93,Fall
Subject2Activity3Trial3Camera2,11,25,Normal
Subject2Activity3Trial3Camera2,26,33,Pre-fall
Subject2Activity3Trial3Camera2,34,93,Fall
Subject2Activity4Trial1Camera1,15,29,Normal
Subject2Activity4Trial1Camera1,30,35,Pre-fall
Subject2Activity4Trial1Camera1,36,95,Fall
Subject2Activity4Trial1Camera2,9,23,Normal
Subject2Activity4Trial1Camera2,24,34,Pre-fall
Subject2Activity4Trial1Camera2,35,94,Fall
Subject2Activity4Trial2Camera1,16,30,Normal
Subject2Activity4Trial2Camera1,31,35,Pre-fall
Subject2Activity4Trial2Camera1,36,95,Fall
Subject2Activity4Trial2Camera2,16,30,Normal
Subject2Activity4Trial2Camera2,31,35,Pre-fall
Subject2Activity4Trial2Camera2,36,95,Fall
Subject2Activity4Trial3Camera1,3,17,Normal
Subject2Activity4Trial3Camera1,18,31,Pre-fall
Subject2Activity4Trial3Camera1,32,91,Fall
Subject2Activity4Trial3Camera2,8,22,Normal
Subject2Activity4Trial3Camera2,23,31,Pre-fall
Subject2Activity4Trial3Camera2,32,91,Fall
adl-01-cam0-rgb,73,149,Normal
adl-02-cam0-rgb,78,179,Normal
adl-03-cam0-rgb,78,179,Normal
adl-04-cam0-rgb,73,149,Normal
adl-05-cam0-rgb,78,179,Normal
adl-06-cam0-rgb,85,229,Normal
adl-07-cam0-rgb,78,179,Normal
adl-08-cam0-rgb,78,179,Normal
adl-09-cam0-rgb,73,149,Normal
adl-10-cam0-rgb,96,202,Normal
adl-10-cam0-rgb,203,299,Normal
adl-12-cam0-rgb,88,249,Normal
adl-13-cam0-rgb,90,264,Normal
adl-14-cam0-rgb,86,234,Normal
adl-15-cam0-rgb,92,274,Normal
adl-16-cam0-rgb,87,239,Normal
adl-17-cam0-rgb,85,229,Normal
adl-18-cam0-rgb,90,264,Normal
adl-19-cam0-rgb,88,249,Normal
adl-20-cam0-rgb,91,269,Normal
adl-21-cam0-rgb,93,236,Normal
adl-21-cam0-rgb,237,279,Normal
adl-22-cam0-rgb,87,239,Normal
adl-23-cam0-rgb,84,219,Normal
adl-24-cam0-rgb,55,69,Normal
adl-25-cam0-rgb,67,109,Normal
adl-26-cam0-rgb,65,94,Normal
adl-27-cam0-rgb,66,99,Normal
adl-28-cam0-rgb,63,84,Normal
adl-29-cam0-rgb,69,124,Normal
adl-30-cam0-rgb,111,399,Normal
adl-31-cam0-rgb,88,228,Normal
adl-31-cam0-rgb,229,249,Normal
adl-32-cam0-rgb,81,199,Normal
adl-33-cam0-rgb,81,199,Normal
adl-34-cam0-rgb,79,190,Normal
adl-35-cam0-rgb,93,279,Normal
adl-36-cam0-rgb,102,228,Normal
adl-36-cam0-rgb,229,339,Normal
adl-37-cam0-rgb,103,255,Normal
adl-37-cam0-rgb,256,349,Normal
adl-38-cam0-rgb,102,344,Normal
adl-39-cam0-rgb,91,269,Normal
adl-40-cam0-rgb,100,329,Normal
fall-01-cam0-rgb,63,84,Normal
fall-01-cam0-rgb,85,116,Pre-fall
fall-01-cam0-rgb,117,159,Fall
fall-02-cam0-rgb,15,29,Normal
fall-02-cam0-rgb,30,61,Pre-fall
fall-02-cam0-rgb,62,109,Fall
fall-03-cam0-rgb,74,157,Normal
fall-03-cam0-rgb,158,170,Pre-fall
fall-03-cam0-rgb,171,214,Fall
fall-04-cam0-rgb,5,19,Normal
fall-04-cam0-rgb,20,36,Pre-fall
fall-04-cam0-rgb,37,95,Fall
fall-05-cam0-rgb,63,84,Normal
fall-05-cam0-rgb,85,114,Pre-fall
fall-05-cam0-rgb,115,150,Fall
fall-06-cam0-rgb,4,18,Normal
fall-06-cam0-rgb,19,45,Pre-fall
fall-06-cam0-rgb,46,99,Fall
fall-07-cam0-rgb,64,87,Normal
fall-07-cam0-rgb,88,105,Pre-fall
fall-07-cam0-rgb,106,155,Fall
fall-08-cam0-rgb,12,26,Normal
fall-08-cam0-rgb,27,50,Pre-fall
fall-08-cam0-rgb,51,90,Fall
fall-09-cam0-rgb,69,121,Normal
fall-09-cam0-rgb,122,141,Pre-fall
fall-09-cam0-rgb,142,184,Fall
fall-10-cam0-rgb,24,38,Normal
fall-10-cam0-rgb,39,63,Pre-fall
fall-10-cam0-rgb,64,123,Fall
fall-11-cam0-rgb,36,50,Normal
fall-11-cam0-rgb,51,69,Pre-fall
fall-11-cam0-rgb,70,129,Fall
fall-12-cam0-rgb,4,18,Normal
fall-12-cam0-rgb,19,45,Pre-fall
fall-12-cam0-rgb,46,105,Fall
fall-13-cam0-rgb,28,42,Normal
fall-13-cam0-rgb,43,63,Pre-fall
fall-13-cam0-rgb,64,84,Fall
fall-14-cam0-rgb,4,18,Normal
fall-14-cam0-rgb,19,45,Pre-fall
fall-14-cam0-rgb,46,60,Fall
fall-15-cam0-rgb,16,30,Normal
fall-15-cam0-rgb,31,48,Pre-fall
fall-15-cam0-rgb,49,70,Fall
fall-16-cam0-rgb,3,17,Normal
fall-16-cam0-rgb,18,41,Pre-fall
fall-16-cam0-rgb,42,54,Fall
fall-17-cam0-rgb,41,55,Normal
fall-17-cam0-rgb,56,77,Pre-fall
fall-17-cam0-rgb,78,94,Fall
fall-18-cam0-rgb,0,14,Normal
fall-18-cam0-rgb,15,38,Pre-fall
fall-18-cam0-rgb,39,64,Fall
fall-19-cam0-rgb,19,33,Normal
fall-19-cam0-rgb,34,52,Pre-fall
fall-19-cam0-rgb,53,99,Fall
fall-20-cam0-rgb,6,20,Normal
fall-20-cam0-rgb,21,50,Pre-fall
fall-20-cam0-rgb,51,109,Fall
fall-21-cam0-rgb,10,24,Normal
fall-21-cam0-rgb,25,49,Pre-fall
fall-21-cam0-rgb,50,54,Fall
fall-22-cam0-rgb,0,8,Normal
fall-22-cam0-rgb,9,36,Pre-fall
fall-22-cam0-rgb,37,55,Fall
fall-23-cam0-rgb,12,26,Normal
fall-23-cam0-rgb,27,61,Pre-fall
fall-23-cam0-rgb,62,74,Fall
fall-24-cam0-rgb,0,11,Normal
fall-24-cam0-rgb,12,42,Pre-fall
fall-24-cam0-rgb,43,59,Fall
fall-25-cam0-rgb,20,34,Normal
fall-25-cam0-rgb,35,66,Pre-fall
fall-25-cam0-rgb,67,84,Fall
fall-26-cam0-rgb,0,8,Normal
fall-26-cam0-rgb,9,43,Pre-fall
fall-26-cam0-rgb,44,60,Fall
fall-27-cam0-rgb,33,47,Normal
fall-27-cam0-rgb,48,80,Pre-fall
fall-27-cam0-rgb,81,91,Fall
fall-28-cam0-rgb,7,21,Normal
fall-28-cam0-rgb,22,48,Pre-fall
fall-28-cam0-rgb,49,65,Fall
fall-29-cam0-rgb,23,37,Normal
fall-29-cam0-rgb,38,65,Pre-fall
fall-29-cam0-rgb,66,98,Fall
fall-30-cam0-rgb,7,21,Normal
fall-30-cam0-rgb,22,47,Pre-fall
fall-30-cam0-rgb,48,69,Fall
